cp,ko,en,fr,es
🏻,하얀 피부,light skin tone,peau claire,tono de piel claro
🏼,연한 갈색 피부,medium-light skin tone,peau moyennement claire,tono de piel claro medio
🏽,갈색 피부,medium skin tone,peau légèrement mate,tono de piel medio
🏾,진한 갈색 피부,medium-dark skin tone,peau mate,tono de piel oscuro medio
🏿,검은색 피부,dark skin tone,peau foncée,tono de piel oscuro
⚧,트랜스젠더 기호,transgender symbol,symbole de la communauté transgenre,símbolo de transgénero
🤌,꼬집는 손가락,pinched fingers,bout des doigts joints,dedos juntos apuntando hacia arriba
🥲,눈물 흘리며 웃는 얼굴,smiling face with tear,Visage souriant avec une larme,cara sonriente con lágrima
🥷,닌자,ninja,ninja,ninja
🥸,변장한 얼굴,disguised face,visage déguisé,cara disfrazada
🦣,매머드,mammoth,mammouth,mamut
🦤,도도새,dodo,dodo,dodo
🦫,비버,beaver,castor,castor
🦬,들소,bison,bison,bisonte
🦭,물개,seal,phoque,foca
🧋,버블티,bubble tea,thé aux perles,té de burbujas
🩴,가락신,thong sandal,tong,chancla
🪃,부메랑,boomerang,boomerang,bumerán
🪄,마술 지팡이,magic wand,baguette magique,varita mágica
🪅,피냐타,piñata,piñata,piñata
🪆,네스팅 인형,nesting dolls,poupées russes,muñeca rusa
🪖,군용 헬멧,military helmet,casque militaire,casco militar
🪗,아코디언,accordion,accordéon,acordeón
🪘,긴 북,long drum,djembé,tamboril
🪙,동전,coin,pièce,moneda
🪚,목공 톱,carpentry saw,scie,sierra de carpintería
🪛,드라이버,screwdriver,tournevis,destornillador
🪜,사다리,ladder,échelle,escalera
🪝,갈고리,hook,crochet,gancho
🪞,거울,mirror,miroir,espejo
🪟,창문,window,fenêtre,ventana
🪠,뚫어뻥,plunger,ventouse,desatascador
🪡,바늘,sewing needle,aiguille à coudre,aguja de coser
🪢,매듭,knot,nœud,nudo
🪣,양동이,bucket,seau,cubo
🪤,쥐덫,mouse trap,tapette à souris,trampa de ratones
🪥,칫솔,toothbrush,brosse à dents,cepillo de dientes
🪦,묘비,headstone,pierre tombale,lápida
🪧,플래카드,placard,pancarte,letrero
🪨,바위,rock,rocher,piedra
🪰,파리,fly,mouche,mosca
🪱,지렁이,worm,lombric,gusano
🪲,딱정벌레,beetle,scarabée,escarabajo
🪳,바퀴벌레,cockroach,cafard,cucaracha
🪴,분재,potted plant,plante en pot,planta de maceta
🪵,목재,wood,bois,madera
🪶,깃털,feather,plume,pluma
🫀,심장,anatomical heart,cœur,corazón humano
🫁,폐,lungs,poumons,pulmones
🫂,포옹하는 사람,people hugging,étreinte,personas abrazándose
🫐,블루베리,blueberries,myrtilles,arándanos
🫑,피망,bell pepper,poivron,pimiento
🫒,올리브,olive,olive,aceituna
🫓,플랫브레드,flatbread,galette,pan sin levadura
🫔,타말레,tamale,tamal,tamal
🫕,퐁듀,fondue,fondue,fondue
🫖,찻주전자,teapot,théière,tetera
🛖,오두막,hut,hutte,cabaña
🛗,엘리베이터,elevator,ascenseur,ascensor
🛻,픽업트럭,pickup truck,pick-up,camioneta
🛼,롤러스케이트,roller skate,patin à roulettes,patines
😀,활짝 웃는 얼굴,grinning face,visage rieur,cara sonriendo
😃,눈을 크게 뜨고 웃는 얼굴,grinning face with big eyes,visage souriant avec de grands yeux,cara sonriendo con ojos grandes
😄,미소 짓는 눈으로 활짝 웃는 얼굴,grinning face with smiling eyes,visage très souriant aux yeux rieurs,cara sonriendo con ojos sonrientes
😁,미소 짓는 눈으로 웃는 얼굴,beaming face with smiling eyes,visage souriant aux yeux rieurs,cara radiante con ojos sonrientes
😆,눈웃음짓는 얼굴,grinning squinting face,visage souriant avec yeux plissés,cara sonriendo con los ojos cerrados
😅,땀 흘리며 웃는 얼굴,grinning face with sweat,visage souriant avec une goutte de sueur,cara sonriendo con sudor frío
🤣,바닥을 구르며 웃는 얼굴,rolling on the floor laughing,se rouler par terre de rire,cara revolviéndose de la risa
😂,기쁨의 눈물을 흘리는 얼굴,face with tears of joy,visage riant aux larmes,cara llorando de risa
🙂,살짝 미소 짓는 얼굴,slightly smiling face,visage avec un léger sourire,cara sonriendo ligeramente
🙃,거꾸로 된 얼굴,upside-down face,tête à l’envers,cara al revés
😉,윙크하는 얼굴,winking face,visage faisant un clin d’œil,cara guiñando el ojo
😊,미소 짓는 눈으로 살짝 웃는 얼굴,smiling face with smiling eyes,visage souriant avec yeux rieurs,cara feliz con ojos sonrientes
😇,후광이 비치는 웃는 얼굴,smiling face with halo,visage souriant avec auréole,cara sonriendo con aureola
🥰,하트와 함께 웃는 얼굴,smiling face with hearts,visage souriant avec cœurs,cara sonriendo con corazones
😍,하트 눈 얼굴,smiling face with heart-eyes,visage souriant avec yeux en forme de cœur,cara sonriendo con ojos de corazón
🤩,반한 얼굴,star-struck,visage avec des étoiles à la place des yeux,cara sonriendo con estrellas
😘,키스를 보내는 얼굴,face blowing a kiss,visage envoyant un bisou,cara lanzando un beso
😗,키스하는 얼굴,kissing face,visage faisant un bisou,cara besando
☺,웃는 얼굴,smiling face,visage souriant,cara sonriente
😚,눈을 감은 채로 키스하는 얼굴,kissing face with closed eyes,visage faisant un bisou avec les yeux fermés,cara besando con los ojos cerrados
😙,미소 짓는 눈으로 키스하는 얼굴,kissing face with smiling eyes,visage aux yeux rieurs faisant un bisou,cara besando con ojos sonrientes
😋,맛있는 음식을 음미하는 얼굴,face savoring food,miam,cara saboreando comida
😛,혀를 내민 얼굴,face with tongue,visage qui tire la langue,cara sacando la lengua
😜,윙크하면서 혀를 내민 얼굴,winking face with tongue,visage qui tire la langue et fait un clin d’œil,cara sacando la lengua y guiñando un ojo
🤪,괴짜 얼굴,zany face,tête de fou,cara de loco
😝,눈을 감고 메롱하는 얼굴,squinting face with tongue,visage qui tire la langue les yeux plissés,cara con ojos cerrados y lengua fuera
🤑,돈 모양의 입이 있는 얼굴,money-mouth face,argent dans les yeux et la bouche,cara con lengua de dinero
🤗,포옹하고 있는 얼굴,hugging face,visage qui fait un câlin,cara con manos abrazando
🤭,손으로 입을 가린 얼굴,face with hand over mouth,visage avec une main sur la bouche,cara con mano sobre la boca
🤫,쉿 하는 얼굴,shushing face,visage avec un doigt sur la bouche,cara pidiendo silencio
🤔,생각하는 얼굴,thinking face,visage en pleine réflexion,cara pensativa
🤐,지퍼로 입을 잠근 얼굴,zipper-mouth face,visage avec bouche fermeture éclair,cara con la boca cerrada con cremallera
🤨,눈썹을 치켜올린 얼굴,face with raised eyebrow,visage avec les sourcils relevés,cara con ceja alzada
😐,덤덤한 얼굴,neutral face,visage neutre,cara neutral
😑,무표정한 얼굴,expressionless face,visage sans expression,cara sin expresión
😶,입이 없는 얼굴,face without mouth,visage sans bouche,cara sin boca
😏,히죽거리는 얼굴,smirking face,visage avec un sourire malin,cara sonriendo con superioridad
😒,지루해하는 얼굴,unamused face,visage blasé,cara de desaprobación
🙄,눈을 굴리고 있는 얼굴,face with rolling eyes,visage roulant des yeux,cara con ojos en blanco
😬,찌푸린 얼굴,grimacing face,visage grimaçant,cara haciendo una mueca
🤥,거짓말하는 얼굴,lying face,visage de menteur,cara de mentiroso
😌,안심한 얼굴,relieved face,visage soulagé,cara de alivio
😔,수심 어린 얼굴,pensive face,visage pensif,cara desanimada
😪,졸린 얼굴,sleepy face,visage endormi,cara de sueño
🤤,침 흘리는 얼굴,drooling face,visage qui bave,cara babeando
😴,졸고 있는 얼굴,sleeping face,visage somnolent,cara durmiendo
😷,마스크 낀 얼굴,face with medical mask,visage avec masque,cara con mascarilla médica
🤒,체온계를 물고 있는 얼굴,face with thermometer,visage avec thermomètre,cara con termómetro
🤕,머리에 붕대를 감은 얼굴,face with head-bandage,visage avec bandage autour de la tête,cara con la cabeza vendada
🤢,구역질을 하는 얼굴,nauseated face,visage nauséeux,cara de náuseas
🤮,토하는 얼굴,face vomiting,visage qui vomit,cara vomitando
🤧,재채기하는 얼굴,sneezing face,visage qui éternue,cara estornudando
🥵,더운 얼굴,hot face,visage rouge et chaud,cara con calor
🥶,추워하는 얼굴,cold face,visage bleu et froid,cara con frío
🥴,헤롱헤롱 얼굴,woozy face,visage éméché,cara de grogui
😵,어지러운 얼굴,dizzy face,visage étourdi,cara mareada
🤯,폭발하는 얼굴,exploding head,tête qui explose,cabeza explotando
🤠,카우보이 모자 쓴 얼굴,cowboy hat face,visage avec chapeau de cowboy,cara con sombrero de vaquero
🥳,파티하는 얼굴,partying face,visage festif,cara de fiesta
😎,선글라스 낀 얼굴,smiling face with sunglasses,visage avec lunettes de soleil,cara sonriendo con gafas de sol
🤓,모범생 얼굴,nerd face,visage de geek,cara de empollón
🧐,단안경을 쓴 얼굴,face with monocle,visage avec un monocle,cara con monóculo
😕,혼란스러워하는 얼굴,confused face,visage confus,cara de confusión
😟,걱정스러운 얼굴,worried face,visage inquiet,cara preocupada
🙁,살짝 찡그린 얼굴,slightly frowning face,visage légèrement mécontent,cara con el ceño ligeramente fruncido
☹,찡그린 얼굴,frowning face,visage mécontent,cara con el ceño fruncido
😮,입벌린 얼굴,face with open mouth,visage avec bouche ouverte,cara con la boca abierta
😯,숨죽인 얼굴,hushed face,visage ébahi,cara estupefacta
😲,깜짝 놀란 얼굴,astonished face,visage stupéfait,cara asombrada
😳,상기된 얼굴,flushed face,visage qui rougit,cara sonrojada
🥺,애원하는 얼굴,pleading face,visage implorant,cara de por favor
😦,입 벌리고 찌푸린 얼굴,frowning face with open mouth,visage mécontent avec bouche ouverte,cara con el ceño fruncido y la boca abierta
😧,괴로워하는 얼굴,anguished face,visage angoissé,cara angustiada
😨,두려워하는 얼굴,fearful face,visage effrayé,cara asustada
😰,땀 흘리며 불안해하는 얼굴,anxious face with sweat,visage anxieux avec goutte de sueur,cara con ansiedad y sudor
😥,실망했지만 안도하는 얼굴,sad but relieved face,visage triste mais soulagé,cara triste pero aliviada
😢,우는 얼굴,crying face,visage qui pleure,cara llorando
😭,엉엉 우는 얼굴,loudly crying face,visage qui pleure à chaudes larmes,cara llorando fuerte
😱,공포에 절규하는 얼굴,face screaming in fear,visage qui hurle de peur,cara gritando de miedo
😖,당혹한 얼굴,confounded face,visage déconcerté,cara de frustración
😣,참아내는 얼굴,persevering face,visage persévérant,cara desesperada
😞,실망한 얼굴,disappointed face,visage déçu,cara decepcionada
😓,식은땀 흘리는 얼굴,downcast face with sweat,visage démoralisé avec goutte de sueur,cara con sudor frío
😩,지친 얼굴,weary face,visage épuisé,cara agotada
😫,피곤한 얼굴,tired face,visage fatigué,cara cansada
🥱,하품하는 얼굴,yawning face,visage bâillant,cara de bostezo
😤,화내며 씩씩거리는 얼굴,face with steam from nose,visage avec fumée sortant des narines,cara resoplando
😡,뾰로통한 얼굴,pouting face,visage boudeur,cara cabreada
😠,화난 얼굴,angry face,visage en colère,cara enfadada
🤬,욕하는 얼굴,face with symbols on mouth,visage avec des symboles dans la bouche,cara con símbolos en la boca
😈,머리에 뿔이 달린 웃는 얼굴,smiling face with horns,visage souriant avec des cornes,cara sonriendo con cuernos
👿,머리에 뿔이 달린 화난 얼굴,angry face with horns,visage en colère avec des cornes,cara enfadada con cuernos
💀,해골,skull,crâne,calavera
☠,해골과 뼈다귀,skull and crossbones,tête de mort,calavera y huesos cruzados
💩,똥,pile of poo,tas de crotte,caca con ojos
🤡,어릿광대 얼굴,clown face,visage de clown,cara de payaso
👹,도깨비 가면,ogre,ogre,demonio japonés oni
👺,코주부 도깨비 가면,goblin,monstre japonais,demonio japonés tengu
👻,유령,ghost,fantôme,fantasma
👽,외계인,alien,alien,alienígena
👾,에일리언,alien monster,monstre de l’espace,monstruo alienígena
🤖,로봇 얼굴,robot,robot,robot
😺,활짝 웃는 고양이 얼굴,grinning cat,chat qui sourit,gato sonriendo
😸,미소 짓는 눈으로 활짝 웃는 고양이 얼굴,grinning cat with smiling eyes,chat qui sourit avec des yeux rieurs,gato sonriendo con ojos sonrientes
😹,기쁨의 눈물을 흘리는 고양이 얼굴,cat with tears of joy,chat qui pleure de joie,gato llorando de risa
😻,하트 눈 고양이 얼굴,smiling cat with heart-eyes,chat souriant aux yeux en cœurs,gato sonriendo con ojos de corazón
😼,썩소 짓는 고양이,cat with wry smile,chat avec sourire en coin,gato haciendo una mueca
😽,키스하는 고양이 얼굴,kissing cat,chat qui fait un bisou,gato besando
🙀,절규하는 고양이 얼굴,weary cat,chat fatigué,gato asustado
😿,울고 있는 고양이 얼굴,crying cat,chat qui pleure,gato llorando
😾,뾰로통한 고양이 얼굴,pouting cat,chat qui boude,gato enfadado
🙈,눈을 가리고 있는 원숭이,see-no-evil monkey,singe ne rien voir,mono con los ojos tapados
🙉,귀를 막고 있는 원숭이,hear-no-evil monkey,singe ne rien entendre,mono con los oídos tapados
🙊,입을 막고 있는 원숭이,speak-no-evil monkey,singe ne rien dire,mono con la boca tapada
💋,입술,kiss mark,trace de rouge à lèvres,marca de beso
💌,러브레터,love letter,lettre d’amour,carta de amor
💘,화살이 꽂힌 하트,heart with arrow,cœur et flèche,corazón con flecha
💝,리본 달린 하트,heart with ribbon,cœur avec ruban,corazón con lazo
💖,빛나는 하트,sparkling heart,cœur étincelant,corazón brillante
💗,커지는 하트,growing heart,cœur grandissant,corazón creciente
💓,두근거리는 하트,beating heart,cœur battant,corazón latiendo
💞,회전하는 하트,revolving hearts,cœurs qui tournent,corazones giratorios
💕,하트 두 개,two hearts,deux cœurs,dos corazones
💟,하트 장식,heart decoration,décoration avec cœur,adorno de corazón
❣,하트 모양 느낌표,heart exclamation,cœur point d’exclamation,exclamación de corazón
💔,깨진 하트,broken heart,cœur brisé,corazón roto
❤,빨간색 하트,red heart,cœur rouge,corazón rojo
🧡,주황색 하트,orange heart,cœur orange,corazón naranja
💛,노란색 하트,yellow heart,cœur jaune,corazón amarillo
💚,초록색 하트,green heart,cœur vert,corazón verde
💙,파란색 하트,blue heart,cœur bleu,corazón azul
💜,보라색 하트,purple heart,cœur violet,corazón morado
🤎,갈색 하트,brown heart,cœur marron,corazón marrón
🖤,검은색 하트,black heart,cœur noir,corazón negro
🤍,흰색 하트,white heart,cœur blanc,corazón blanco
💯,백점,hundred points,cent points,cien puntos
💢,화남,anger symbol,symbole de colère,símbolo de enfado
💥,충돌,collision,explosion,colisión
💫,어지러움,dizzy,étourdissement,símbolo de mareo
💦,땀,sweat droplets,gouttes de sueur,gotas de sudor
💨,달려나감,dashing away,décamper,salir corriendo
🕳,구멍,hole,trou,agujero
💣,폭탄,bomb,bombe,bomba
💬,말풍선,speech balloon,bulle de parole,bocadillo de diálogo
👁‍🗨,말풍선 속 눈,eye in speech bubble,œil dans une bulle de BD,ojo en bocadillo de texto
🗨,왼쪽 말풍선,left speech bubble,bulle de parole gauche,bocadillo de diálogo por la izquierda
🗯,화난 표현의 오른쪽 말풍선,right anger bubble,bulle colère droite,bocadillo de enfado por la derecha
💭,생각 풍선,thought balloon,bulle de pensée,bocadillo de pensamiento
💤,졸림,zzz,endormi,símbolo de sueño
👋,흔드는 손,waving hand,signe de la main,mano saludando
🤚,손등,raised back of hand,dos de main levée,dorso de la mano
🖐,쫙 편 손바닥,hand with fingers splayed,main levée doigts écartés,mano abierta
✋,손바닥,raised hand,main levée,mano levantada
🖖,벌칸식 인사,vulcan salute,salut vulcain,saludo vulcano
👌,오케이를 표시한 손,OK hand,ok,señal de aprobación con la mano
🤏,꼬집는 손,pinching hand,pouce et index rapprochés,mano pellizcando
✌,브이 표시,victory hand,V de la victoire,mano con señal de victoria
🤞,검지와 중지 크로스,crossed fingers,doigts croisés,dedos cruzados
🤟,사랑을 표시하는 손,love-you gesture,signe je t’aime,gesto de te quiero
🤘,뿔 모양 손짓,sign of the horns,cornes avec les doigts,mano haciendo el signo de cuernos
🤙,전화를 걸라는 손 모양,call me hand,signe appel téléphonique avec les doigts,mano haciendo el gesto de llamar
👈,왼쪽을 가리키는 손등,backhand index pointing left,main avec index pointant à gauche,dorso de mano con índice a la izquierda
👉,오른쪽을 가리키는 손등,backhand index pointing right,main avec index pointant à droite,dorso de mano con índice a la derecha
👆,위쪽을 가리키는 손등,backhand index pointing up,main avec index pointant vers le haut,dorso de mano con índice hacia arriba
🖕,중지,middle finger,doigt d’honneur,dedo corazón hacia arriba
👇,아래쪽을 가리키는 손등,backhand index pointing down,main avec index pointant vers le bas,dorso de mano con índice hacia abajo
☝,위쪽을 가리키는 손,index pointing up,index pointant vers le haut,dedo índice hacia arriba
👍,올린 엄지,thumbs up,pouce vers le haut,pulgar hacia arriba
👎,내린 엄지,thumbs down,pouce vers le bas,pulgar hacia abajo
✊,주먹,raised fist,poing levé,puño en alto
👊,주먹 전면,oncoming fist,poing de face,puño cerrado
🤛,왼쪽을 향하는 주먹,left-facing fist,poing à gauche,puño hacia la izquierda
🤜,오른쪽을 향하는 주먹,right-facing fist,poing à droite,puño hacia la derecha
👏,손뼉,clapping hands,applaudissements,manos aplaudiendo
🙌,만세,raising hands,mains levées,manos levantadas celebrando
👐,양손을 모아서 벌린 모양,open hands,mains ouvertes,manos abiertas
🤲,내민 두 손,palms up together,paume contre paume doigts vers le haut,palmas hacia arriba juntas
🤝,악수,handshake,poignée de main,apretón de manos
🙏,기도,folded hands,mains en prière,manos en oración
✍,글을 쓰고 있는 손,writing hand,main qui écrit,mano escribiendo
💅,매니큐어,nail polish,vernis à ongles,pintarse las uñas
🤳,셀카,selfie,selfie,selfi
💪,알통,flexed biceps,biceps contracté,bíceps flexionado
🦾,기계 팔,mechanical arm,bras mécanique,brazo mecánico
🦿,인공 다리,mechanical leg,jambe mécanique,pierna mecánica
🦵,한쪽 다리,leg,jambe,pierna
🦶,한쪽 발,foot,pied,pie
👂,귀,ear,oreille,oreja
🦻,보청기를 낀 귀,ear with hearing aid,oreille appareillée,oreja con audífono
👃,코,nose,nez,nariz
🧠,뇌,brain,cerveau,cerebro
🦷,이빨,tooth,dent,diente
🦴,뼈다귀,bone,os,hueso
👀,왕눈이 눈알,eyes,yeux,ojos
👁,눈,eye,œil,ojo
👅,혀,tongue,langue,lengua
👄,입,mouth,bouche,boca
👶,아기,baby,bébé,bebé
🧒,어린이,child,enfant,infante
👦,남자 아이,boy,garçon,niño
👧,여자 아이,girl,fille,niña
🧑,사람,person,adulte,persona adulta
👱,금발인 사람,person: blond hair,personne blonde,persona adulta rubia
🧑‍🍼,수유 중인 사람,person feeding baby,personne allaitant un bébé,persona alimentando a bebé
🧑‍🎄,산타,mx claus,santa,Noel
👨,남자,man,homme,hombre
🧔,수염 난 사람,man: beard,homme barbu,hombre con barba
👱‍♂,금발 남자,man: blond hair,homme blond,hombre rubio
👨‍🍼,수유 중인 남자,man feeding baby,homme allaitant un bébé,hombre alimentando a bebé
👩,여자,woman,femme,mujer
👱‍♀,금발 여자,woman: blond hair,femme blonde,mujer rubia
👩‍🍼,수유 중인 여자,woman feeding baby,femme allaitant un bébé,mujer alimentando a bebé
🧓,노인,older person,personne âgée,persona adulta madura
👴,할아버지,old man,homme âgé,anciano
👵,할머니,old woman,femme âgée,anciana
🙍,찌푸린 사람,person frowning,personne fronçant les sourcils,persona frunciendo el ceño
🙍‍♂,찌푸린 남자,man frowning,homme fronçant les sourcils,hombre frunciendo el ceño
🙍‍♀,찌푸린 여자,woman frowning,femme fronçant les sourcils,mujer frunciendo el ceño
🙎,뾰로통한 사람,person pouting,personne qui boude,persona haciendo pucheros
🙎‍♂,뾰로통한 남자,man pouting,homme qui boude,hombre haciendo pucheros
🙎‍♀,뾰로통한 여자,woman pouting,femme qui boude,mujer haciendo pucheros
🙅,안된다는 제스처를 하는 사람,person gesturing NO,personne faisant un geste d’interdiction,"persona haciendo el gesto de ""no"""
🙅‍♂,안된다는 제스처를 하는 남자,man gesturing NO,homme faisant un geste d’interdiction,"hombre haciendo el gesto de ""no"""
🙅‍♀,안된다는 제스처를 하는 여자,woman gesturing NO,femme faisant un geste d’interdiction,"mujer haciendo el gesto de ""no"""
🙆,오케이라는 제스처를 하는 사람,person gesturing OK,personne faisant un geste d’acceptation,"persona haciendo el gesto de ""de acuerdo"""
🙆‍♂,오케이라는 제스처를 하는 남자,man gesturing OK,homme faisant un geste d’acceptation,"hombre haciendo el gesto de ""de acuerdo"""
🙆‍♀,오케이라는 제스처를 하는 여자,woman gesturing OK,femme faisant un geste d’acceptation,"mujer haciendo el gesto de ""de acuerdo"""
💁,손바닥 꺾은 사람,person tipping hand,personne paume vers le haut,persona de mostrador de información
💁‍♂,손바닥 꺾은 남자,man tipping hand,homme paume vers le haut,empleado de mostrador de información
💁‍♀,손바닥 꺾은 여자,woman tipping hand,femme paume vers le haut,empleada de mostrador de información
🙋,한 손 든 사람,person raising hand,personne qui lève la main,persona con la mano levantada
🙋‍♂,한 손 든 남자,man raising hand,homme qui lève la main,hombre con la mano levantada
🙋‍♀,한 손 든 여자,woman raising hand,femme qui lève la main,mujer con la mano levantada
🧏,청각 장애가 있는 사람,deaf person,personne sourde,persona sorda
🧏‍♂,청각장애가 있는 남자,deaf man,homme sourd,hombre sordo
🧏‍♀,청각장애가 있는 여자,deaf woman,femme sourde,mujer sorda
🙇,절하는 사람,person bowing,personne qui s’incline,persona haciendo una reverencia
🙇‍♂,절하는 남자,man bowing,homme qui s’incline,hombre haciendo una reverencia
🙇‍♀,절하는 여자,woman bowing,femme qui s’incline,mujer haciendo una reverencia
🤦,골치 아파하는 사람,person facepalming,personne avec la paume sur le visage,persona con la mano en la frente
🤦‍♂,골치 아파하는 남자,man facepalming,homme avec la paume sur le visage,hombre con la mano en la frente
🤦‍♀,골치 아파하는 여자,woman facepalming,femme avec la paume sur le visage,mujer con la mano en la frente
🤷,어깨를 으쓱하는 사람,person shrugging,personne qui hausse les épaules,persona encogida de hombros
🤷‍♂,어깨를 으쓱하는 남자,man shrugging,homme qui hausse les épaules,hombre encogido de hombros
🤷‍♀,어깨를 으쓱하는 여자,woman shrugging,femme qui hausse les épaules,mujer encogida de hombros
🧑‍⚕,의료인,health worker,professionnel de la santé (tous genres),profesional sanitario
👨‍⚕,남자 의료인,man health worker,professionnel de la santé,profesional sanitario hombre
👩‍⚕,여자 의료인,woman health worker,professionnelle de la santé,profesional sanitario mujer
🧑‍🎓,학생,student,étudiant (tous genres),estudiante
👨‍🎓,남학생,man student,étudiant,estudiante hombre
👩‍🎓,여학생,woman student,étudiante,estudiante mujer
🧑‍🏫,교사,teacher,personnel enseignant,docente
👨‍🏫,남교사,man teacher,enseignant,docente hombre
👩‍🏫,여교사,woman teacher,enseignante,docente mujer
🧑‍⚖,판사,judge,juge,fiscal
👨‍⚖,남자 판사,man judge,juge homme,fiscal hombre
👩‍⚖,여자 판사,woman judge,juge femme,fiscal mujer
🧑‍🌾,농부,farmer,fermier (tous genres),profesional de la agricultura
👨‍🌾,남자 농부,man farmer,fermier,profesional de la agricultura hombre
👩‍🌾,여자 농부,woman farmer,fermière,profesional de la agricultura mujer
🧑‍🍳,요리사,cook,cuisinier (tous genres),chef
👨‍🍳,남자 요리사,man cook,cuisinier,chef hombre
👩‍🍳,여자 요리사,woman cook,cuisinière,chef mujer
🧑‍🔧,정비공,mechanic,mécanicien (tous genres),profesional de la mecánica
👨‍🔧,남자 정비공,man mechanic,mécanicien,profesional de la mecánica hombre
👩‍🔧,여자 정비공,woman mechanic,mécanicienne,profesional de la mecánica mujer
🧑‍🏭,공장 직원,factory worker,ouvrier (tous genres),profesional industrial
👨‍🏭,공장 남자 직원,man factory worker,ouvrier,profesional industrial hombre
👩‍🏭,공장 여자 직원,woman factory worker,ouvrière,profesional industrial mujer
🧑‍💼,회사원,office worker,employé de bureau (tous genres),oficinista
👨‍💼,남자 회사원,man office worker,employé de bureau,oficinista hombre
👩‍💼,여자 회사원,woman office worker,employée de bureau,oficinista mujer
🧑‍🔬,과학자,scientist,scientifique,profesional de la ciencia
👨‍🔬,남자 과학자,man scientist,scientifique homme,profesional de la ciencia hombre
👩‍🔬,여자 과학자,woman scientist,scientifique femme,profesional de la ciencia mujer
🧑‍💻,기술 전문가,technologist,informaticien (tous genres),profesional de la tecnología
👨‍💻,남자 기술 전문가,man technologist,informaticien,profesional de la tecnología hombre
